标题,地块编号,省份,城市,总面积,建设用地面积,规划建筑面积,代征面积,容积率,绿化率,商业比例,建筑密度,限制高度,出让形式,出让年限,位置,四至,规划用途,交易状况,竞得方,起始日期,截止日期,成交日期,交易低点,起始价,成交价,楼面地价,溢价率,土地公告,咨询电话,保证金,最小加价幅度,
龙泉驿区龙泉街道永安路以北,地块编号：LQ05(211):2016-07,四川,成都,32552,32552,97655,暂无,＞2且≤3,暂无,暂无,结合方案合理性确定,暂无,挂牌,商服用地40年,龙泉驿区龙泉街道永安路以北,龙泉驿区龙泉街道永安路以北,商服用地,未成交,暂无,2017/3/17,2017/3/31,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,11230万元,暂无,暂无,暂无,龙泉驿区龙泉街道永安路以北土地公告,http://industrydown.fang.com/tudi/20170223/chenggongzituguagao[2017]3hao.docx,028-85987887,3400万元,暂无
天府新区万安街道石桥社区二、三组,地块编号：TF(05):2016-33,四川,成都,9674,9674,23200,暂无,≤2.4,暂无,暂无,≤50,满足航空限高,挂牌,商服用地40年,天府新区万安街道石桥社区二、三组,天府新区万安街道石桥社区二、三组,商服用地,未成交,暂无,2017/3/14,2017/3/28,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,3338万元,暂无,暂无,暂无,天府新区万安街道石桥社区二、三组土地公告,http://industrydown.fang.com/tudi/20170220/chenggongzituguagao[2017]2hao.docx,028-85987887,1700万元,暂无
天府新区万安街道石桥社区七组,地块编号：TF(05):2016-32,四川,成都,19841,19841,79300,暂无,≤4,暂无,暂无,≤50,满足航空限高,挂牌,商服用地40年,天府新区万安街道石桥社区七组,天府新区万安街道石桥社区七组,商服用地,未成交,暂无,2017/3/14,2017/3/28,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,6845万元,暂无,暂无,暂无,天府新区万安街道石桥社区七组土地公告,http://industrydown.fang.com/tudi/20170220/chenggongzituguagao[2017]2hao.docx,028-85987887,3500万元,暂无
郫县犀浦镇五粮村4、5社,地块编号：PX2016-07(211),四川,成都,14063,14063,63285,暂无,≤4.5,暂无,暂无,≤45,满足航空限高,拍卖,40年,郫县犀浦镇五粮村4、5社,郫县犀浦镇五粮村4、5社,商业用地,未成交,暂无,2017/3/21,2017/3/21,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,3439万元,暂无,暂无,暂无,郫县犀浦镇五粮村4、5社土地公告,http://industrydown.fang.com/tudi/20170228/chenggongzitupaigao[2017]2hao.docx,028-85987887,860万元,暂无
郫县团结镇永定村四社、石堤村十一社,地块编号：PX2017-01(252/211),四川,成都,64951,64951,116911,暂无,＞1且≤1.8,建筑层数不大于6层,暂无,≤30,≤24,拍卖,住宅70年、商业40年,郫县团结镇永定村四社、石堤村十一社,郫县团结镇永定村四社、石堤村十一社,二类住宅用地,未成交,暂无,2017/3/21,2017/3/21,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,21044万元,暂无,暂无,暂无,郫县团结镇永定村四社、石堤村十一社土地公告,http://industrydown.fang.com/tudi/20170228/chenggongzitupaigao[2017]2hao.docx,028-85987887,5300万元,暂无
双流区协和街道长顺村2、6组，清河村9组,地块编号：SLG-(07/05)-2017-001,四川,成都,101462,101462,304385,暂无,＞1且≤3,暂无,≤10,≤25,满足航空限高,拍卖,住宅用地70年；商业用地40年,双流区协和街道长顺村2、6组，清河村9组,双流区协和街道长顺村2、6组，清河村9组,住宅用地兼容商服用地（零售商业、餐饮、金融保险业、艺术传媒产业、其他商务设施、娱乐）,未成交,暂无,2017/3/15,2017/3/15,暂无,成都市高新区天府大道北段966号天府国际金融中心7号楼,194806万元,暂无,暂无,暂无,双流区协和街道长顺村2、6组，清河土地公告,http://industrydown.fang.com/tudi/20170220/chenggongzitupaigao[2017]1hao.docx,028-85987887,120000万元,暂无
蒲江县大塘镇五里村,地块编号：5101312016061,四川,成都,2256,2256,2256,暂无,≥1,暂无,暂无,≥40,暂无,挂牌,50年,蒲江县大塘镇五里村,蒲江县大塘镇五里村,工业用地,未成交,暂无,2017/2/14,2017/2/28,暂无,蒲江县公共资源交易服务中心,15万元,暂无,暂无,暂无,蒲江县大塘镇五里村土地公告,http://industrydown.fang.com/tudi/20170207/pugongziguagao[2017]01hao.docx,028-88551293,15万元,暂无
新都区泰兴镇普河村2、3组,地块编号：XGY-1705,四川,成都,24466,24466,73397,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区泰兴镇普河村2、3组,新都区泰兴镇普河村2、3组,工业用地,已成交,四川江山铁路配件有限公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,598万元,598万元,82元,暂无,新都区泰兴镇普河村2、3组土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,120万元,1
新都区新都街道寂光村7组,地块编号：XGY-1702,四川,成都,5845,5845,17536,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区新都街道寂光村7组,新都区新都街道寂光村7组,工业用地,已成交,四川兰德高科技产业有限公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,140万元,140万元,80元,暂无,新都区新都街道寂光村7组土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,29万元,1
新都区新都街道桂溪村1、8组，永兴村1、5、6组,地块编号：XGY-1701,四川,成都,33333,33333,100000,暂无,≥1且≤3,暂无,暂无,≥40,暂无,挂牌,50年,新都区新都街道桂溪村1、8组，永兴村1、5、6组,新都区新都街道桂溪村1、8组，永兴村1、5、6组,工业用地,已成交,成都铭耀精密机械制造有限公司,2017/2/15,2017/2/27,2017/2/27,成都市新都区新政务中心C区4楼成都市新都区公共资源交易服务中心,800万元,800万元,80元,暂无,新都区新都街道桂溪村1、8组，永兴土地公告,http://industrydown.fang.com/tudi/20170207/xinguotuguagao[2017]01hao.docx,暂无,249万元,1
